0	23
0.14	1
0.18	1
0.2	4
0.21	1
0.22	1
0.3	1
0.32	1
0.36	1
0.4	1
0.44	1
0.45	4
0.5	2
0.54	1
0.56	2
0.57	2
0.6	2
0.609	3
0.62	2
0.65	2
0.66	1
0.68	1
0.7	2
0.70	1
0.72	1
0.74	6
0.75	2
0.7757/62	1
0.8	1
0.87	1
0.9	4
07.apr	1
07.apr.97	1
07.apr.98	1
07.apr.99	1
0807	1
0830	1
0845	5
0900	8
0928	1
0930	8
1	77
1,000	3
1,010	1
1,038	1
1,082	1
1,097,500	1
1,143	1
1,158	1
1,180	1
1,200	4
1,200,650	1
1,248.6	1
1,274.45	1
1,349	1
1,350	1
1,400	2
1,404	1
1,526	1
1,660	1
1,686	1
1,785.8	1
1,834.05	1
1-0	4
1-thomas	2
1.0	2
1.00	1
1.04	2
1.056	1
1.07	2
1.078	1
1.09	1
1.1	2
1.147	1
1.15	3
1.2	1
1.257	1
1.264.7	1
1.270	1
1.3	6
1.35	7
1.3919/24	1
1.4	3
1.43	1
1.4365/75gold	1
1.4420/25	1
1.45	1
1.5	13
1.51	2
1.526	1
1.53	2
1.55	1
1.6	6
1.62	1
1.621	1
1.66	3
1.660	1
1.6680	2
1.6682	1
1.6690	1
1.6699	1
1.6713	3
1.6724	2
1.6763	4
1.6838/43	1
1.7	3
1.71	1
1.72	2
1.72-1/2	1
1.720	1
1.724	1
1.73	1
1.74	2
1.77	1
1.8	7
1.8.under	1
1.85	1
1.86	2
1.88	1
1.8943/53	1
1.9	8
1.91	1
1.94	1
1.95	9
1.97	2
1.99	2
1.a	1
1.chapulut	1
1.paris	1
1/4	1
10	63
10,000	4
10-man	1
10-martin	2
10-point	1
10-year	14
10-zinedine	2
10.2	1
10.30	1
10.67	1
10.7	1
10.8	1
100	20
100,000	1
100.0	1
100.0provisional	1
100.0totals	1
100.309	1
1000	1
101.88	1
1010	1
1040	1
105	1
105,000	1
106.78	1
11	40
11,057	1
11,942	1
11-12	2
11-kennet	2
11-patrice	1
11.25	1
11.2renault	1
11.328	1
11.5	1
11.50	1
11.6	1
11.723	1
11.8renault	1
11.both	1
11.it	1
11.saint	1
11.the	2
110,918	1
110-mile	1
1100	1
1110	1
112,533	1
1124	1
1145	2
115	1
115,521	1
116	1
12	23
12,000	1
12,000villeurbanne	1
12,691note	1
12.00	1
12.3	2
12.5	3
12.6	2
12.8	2
